Stock_ID,Date,Instrument_Name,Price,Volume
Stock_1,2023-08-24,Apple,176.38,53220000
Stock_1,2023-08-23,Apple,181.12,51470000
Stock_1,2023-08-22,Apple,177.23,41380000
Stock_1,2023-08-21,Apple,175.84,44990000
Stock_1,2023-08-18,Apple,174.49,61170000
Stock_1,2023-08-17,Apple,174,61250000
Stock_1,2023-08-16,Apple,176.57,45600000
Stock_1,2023-08-15,Apple,177.45,43370000
Stock_1,2023-08-14,Apple,179.46,43680000
Stock_1,2023-08-11,Apple,177.79,52040000
Stock_1,2023-08-10,Apple,177.97,52600000
Stock_1,2023-08-09,Apple,178.19,57800000
Stock_1,2023-08-08,Apple,179.8,67600000
Stock_1,2023-08-07,Apple,178.85,97580000
Stock_1,2023-08-04,Apple,181.99,115960000
Stock_1,2023-08-03,Apple,191.17,52600000
Stock_1,2023-08-02,Apple,192.58,48900000
Stock_1,2023-08-01,Apple,195.6,34730000
Stock_1,2023-07-31,Apple,196.45,38590000
Stock_1,2023-07-28,Apple,195.83,48290000
Stock_1,2023-07-27,Apple,193.22,47460000
Stock_1,2023-07-26,Apple,194.5,47470000
Stock_1,2023-07-25,Apple,193.62,37280000
Stock_1,2023-07-24,Apple,192.75,44860000
Stock_1,2023-07-21,Apple,191.94,71950000
Stock_1,2023-07-20,Apple,193.13,59580000
Stock_1,2023-07-19,Apple,195.1,80510000
Stock_1,2023-07-18,Apple,193.73,48200000
Stock_1,2023-07-17,Apple,193.99,49840000
Stock_1,2023-07-14,Apple,190.69,41620000
Stock_1,2023-07-13,Apple,190.54,41340000
Stock_1,2023-07-12,Apple,189.77,59770000
Stock_1,2023-07-11,Apple,188.08,46420000
Stock_1,2023-07-10,Apple,188.61,59100000
Stock_1,2023-07-07,Apple,190.68,46820000
Stock_1,2023-07-06,Apple,191.81,45000000
Stock_1,2023-07-05,Apple,191.33,46590000
Stock_1,2023-07-03,Apple,192.46,31460000
Stock_1,2023-06-30,Apple,193.97,85210000
Stock_1,2023-06-29,Apple,189.59,45450000
Stock_1,2023-06-28,Apple,189.25,50900000
Stock_1,2023-06-27,Apple,188.06,49730000
Stock_1,2023-06-26,Apple,185.27,47500000
Stock_1,2023-06-23,Apple,186.68,53120000
Stock_1,2023-06-22,Apple,187,50840000
Stock_1,2023-06-21,Apple,183.96,49360000
Stock_1,2023-06-20,Apple,185.01,48960000
Stock_1,2023-06-16,Apple,184.92,101260000
Stock_1,2023-06-15,Apple,186.01,65280000
Stock_1,2023-06-14,Apple,183.95,56520000
Stock_1,2023-06-13,Apple,183.31,54650000
Stock_1,2023-06-12,Apple,183.79,53570000
Stock_1,2023-06-09,Apple,180.96,48900000
Stock_1,2023-06-08,Apple,180.57,50210000
Stock_1,2023-06-07,Apple,177.82,61940000
Stock_1,2023-06-06,Apple,179.21,64340000
Stock_1,2023-06-05,Apple,179.58,121320000
Stock_1,2023-06-02,Apple,180.95,62000000
Stock_1,2023-06-01,Apple,180.09,65300000
Stock_1,2023-05-31,Apple,177.25,99310000
Stock_1,2023-05-30,Apple,177.3,55770000
Stock_1,2023-05-26,Apple,175.43,54830000
Stock_1,2023-05-25,Apple,172.99,55920000
Stock_1,2023-05-24,Apple,171.84,43490000
Stock_1,2023-05-23,Apple,171.56,49180000
Stock_1,2023-05-22,Apple,174.2,43310000
Stock_1,2023-05-19,Apple,175.16,52680000
Stock_1,2023-05-18,Apple,175.05,65090000
Stock_1,2023-05-17,Apple,172.69,57950000
Stock_1,2023-05-16,Apple,172.07,42110000
Stock_1,2023-05-15,Apple,172.07,37180000
Stock_1,2023-05-12,Apple,172.57,45530000
Stock_1,2023-05-11,Apple,173.75,49510000
Stock_1,2023-05-10,Apple,173.55,53720000
Stock_1,2023-05-09,Apple,171.77,45330000
Stock_1,2023-05-08,Apple,173.5,55960000
Stock_1,2023-05-05,Apple,173.57,113450000
Stock_1,2023-05-04,Apple,165.79,70380000
Stock_1,2023-05-03,Apple,167.45,59440000
Stock_1,2023-05-02,Apple,168.54,48430000
Stock_1,2023-05-01,Apple,169.59,49390000
Stock_1,2023-04-28,Apple,169.68,55280000
Stock_1,2023-04-27,Apple,168.41,64220000
Stock_1,2023-04-26,Apple,163.76,44110000
Stock_1,2023-04-25,Apple,163.77,48170000
Stock_1,2023-04-24,Apple,165.33,38990000
Stock_1,2023-04-21,Apple,165.02,58340000
Stock_1,2023-04-20,Apple,166.65,52460000
Stock_1,2023-04-19,Apple,167.63,47240000
Stock_1,2023-04-18,Apple,166.47,48410000
Stock_1,2023-04-17,Apple,165.23,41520000
Stock_1,2023-04-14,Apple,165.21,49390000
Stock_1,2023-04-13,Apple,165.56,67160000
Stock_1,2023-04-12,Apple,160.1,49400000
Stock_1,2023-04-11,Apple,160.8,46310000
Stock_1,2023-04-10,Apple,162.03,47030000
Stock_1,2023-04-06,Apple,164.66,45390000
Stock_1,2023-04-05,Apple,163.76,51300000
Stock_1,2023-04-04,Apple,165.63,44430000
Stock_1,2023-04-03,Apple,166.17,54970000
Stock_1,2023-03-31,Apple,164.9,68750000
Stock_1,2023-03-30,Apple,162.36,46810000
Stock_1,2023-03-29,Apple,160.77,51310000
Stock_1,2023-03-28,Apple,157.65,45580000
Stock_1,2023-03-27,Apple,158.28,50420000
Stock_1,2023-03-24,Apple,160.25,59260000
Stock_1,2023-03-23,Apple,158.93,67220000
Stock_1,2023-03-22,Apple,157.83,69170000
Stock_1,2023-03-21,Apple,159.28,73760000
Stock_1,2023-03-20,Apple,157.4,73470000
Stock_1,2023-03-17,Apple,155,98940000
Stock_1,2023-03-16,Apple,155.85,76020000
Stock_1,2023-03-15,Apple,152.99,75960000
Stock_1,2023-03-14,Apple,152.59,73370000
Stock_1,2023-03-13,Apple,150.47,84460000
Stock_1,2023-03-10,Apple,148.5,68570000
Stock_1,2023-03-09,Apple,150.59,53450000
Stock_1,2023-03-08,Apple,152.87,47200000
Stock_1,2023-03-07,Apple,151.6,56180000
Stock_1,2023-03-06,Apple,153.83,87560000
Stock_1,2023-03-03,Apple,151.03,70500000
Stock_1,2023-03-02,Apple,145.91,52090000
Stock_1,2023-03-01,Apple,145.31,55220000
Stock_1,2023-02-28,Apple,147.41,50550000
Stock_1,2023-02-27,Apple,147.92,45000000
Stock_1,2023-02-24,Apple,146.71,55470000
Stock_1,2023-02-23,Apple,149.4,48390000
Stock_1,2023-02-22,Apple,148.91,51010000
Stock_1,2023-02-21,Apple,148.48,58870000
Stock_1,2023-02-17,Apple,152.55,59140000
Stock_1,2023-02-16,Apple,153.71,66840000
Stock_1,2023-02-15,Apple,155.33,65470000
Stock_1,2023-02-14,Apple,153.2,61710000
Stock_1,2023-02-13,Apple,153.85,61860000
Stock_1,2023-02-10,Apple,151.01,57450000
Stock_1,2023-02-09,Apple,150.87,54900000
Stock_1,2023-02-08,Apple,151.92,63470000
Stock_1,2023-02-07,Apple,154.65,83030000
Stock_1,2023-02-06,Apple,151.73,68020000
Stock_1,2023-02-03,Apple,154.5,154360000
Stock_1,2023-02-02,Apple,150.82,104480000
Stock_1,2023-02-01,Apple,145.43,76770000
Stock_1,2023-01-31,Apple,144.29,65870000
Stock_1,2023-01-30,Apple,143,62980000
Stock_1,2023-01-27,Apple,145.93,70560000
Stock_1,2023-01-26,Apple,143.96,53650000
Stock_1,2023-01-25,Apple,141.86,64690000
Stock_1,2023-01-24,Apple,142.53,63710000
Stock_1,2023-01-23,Apple,141.11,81570000
Stock_1,2023-01-20,Apple,137.87,80220000
Stock_1,2023-01-19,Apple,135.27,58070000
Stock_1,2023-01-18,Apple,135.21,69670000
Stock_1,2023-01-17,Apple,135.94,63420000
Stock_1,2023-01-13,Apple,134.76,57810000
Stock_1,2023-01-12,Apple,133.41,71250000
Stock_1,2023-01-11,Apple,133.49,69120000
Stock_1,2023-01-10,Apple,130.73,63430000
Stock_1,2023-01-09,Apple,130.15,70500000
Stock_1,2023-01-06,Apple,129.62,87760000
Stock_1,2023-01-05,Apple,125.02,79970000
Stock_1,2023-01-04,Apple,126.36,88460000
Stock_1,2023-01-03,Apple,125.07,111680000
Stock_1,2022-12-30,Apple,129.93,77030000
Stock_1,2022-12-29,Apple,129.61,75480000
Stock_1,2022-12-28,Apple,126.04,84900000
Stock_1,2022-12-27,Apple,130.03,68750000
Stock_1,2022-12-23,Apple,131.86,63820000
Stock_1,2022-12-22,Apple,132.23,77590000
Stock_1,2022-12-21,Apple,135.45,85750000
Stock_1,2022-12-20,Apple,132.3,77080000
Stock_1,2022-12-19,Apple,132.37,79150000
Stock_1,2022-12-16,Apple,134.51,160160000
Stock_1,2022-12-15,Apple,136.5,97250000
Stock_1,2022-12-14,Apple,143.21,82290000
Stock_1,2022-12-13,Apple,145.47,93730000
Stock_1,2022-12-12,Apple,144.49,70310000
Stock_1,2022-12-09,Apple,142.16,76100000
Stock_1,2022-12-08,Apple,142.65,61910000
Stock_1,2022-12-07,Apple,140.94,69510000
Stock_1,2022-12-06,Apple,142.91,64520000
Stock_1,2022-12-05,Apple,146.63,68390000
Stock_1,2022-12-02,Apple,147.81,65450000
Stock_1,2022-12-01,Apple,148.31,71250000
Stock_1,2022-11-30,Apple,148.03,111380000
Stock_1,2022-11-29,Apple,141.17,83760000
Stock_1,2022-11-28,Apple,144.22,69350000
